<<<<<<< HEAD
Date,StrategyValue,Benchmark,Returns,Cummax,drawdown,Monat,monthly_returns
2004-01-02,100.0,100.0,0.0,100.0,-0.0,1,0.0
2004-01-05,100.0,101.33,0.0,100.0,-0.0,1,0.0
2004-01-06,100.0,101.41,0.0,100.0,-0.0,1,0.0
2004-01-07,100.0,101.69,0.0,100.0,-0.0,1,0.0
2004-01-08,100.0,102.34,0.0,100.0,-0.0,1,0.0
2004-01-09,99.82,101.19,-0.0018000000000000238,100.0,-0.18000000000000682,1,0.0
2004-01-12,100.13,101.71,0.0031055900621117516,100.13,-0.0,1,0.0
2004-01-13,100.31,101.05,0.001797663038050512,100.31,-0.0,1,0.0
2004-01-14,100.47,101.78,0.0015950553284815872,100.47,-0.0,1,0.0
2004-01-15,100.82,101.9,0.0034836269533193853,100.82,-0.0,1,0.0
2004-01-16,100.84,102.68,0.00019837333862349205,100.84,-0.0,1,0.0
2004-01-20,100.78,102.5,-0.0005950019833399489,100.84,-0.0595001983339967,1,0.0
2004-01-21,101.03,103.39,0.002480650922802141,101.03,-0.0,1,0.0
2004-01-22,101.06,102.95,0.0002969415025240174,101.06,-0.0,1,0.0
2004-01-23,101.01,102.8,-0.000494755590738194,101.06,-0.04947555907381473,1,0.0
2004-01-26,101.1,104.26,0.0008910008910008038,101.1,-0.0,1,0.0
2004-01-27,101.27,103.12,0.0016815034619188651,101.27,-0.0,1,0.0
2004-01-28,101.22,101.73,-0.0004937296336525732,101.27,-0.04937296336525838,1,0.0
2004-01-29,101.08,102.38,-0.0013831258644536604,101.27,-0.18761726078799026,1,0.0
2004-01-30,101.91,101.88,0.008211317768104465,101.91,-0.0,1,0.0
2004-02-02,101.74,102.32,-0.0016681385536257975,101.91,-0.1668138553625765,2,0.0
2004-02-03,101.56,102.43,-0.0017692156477294718,101.91,-0.34344029045235436,2,0.0
2004-02-04,101.32,101.61,-0.0023631350925562566,101.91,-0.5789422039054101,2,0.0
2004-02-05,101.43,101.75,0.0010856691669958174,101.91,-0.47100382690608356,2,0.0
2004-02-06,102.34,102.92,0.008971704623878418,102.34,-0.0,2,0.0
2004-02-09,102.28,102.5,-0.0005862810240375715,102.34,-0.05862810240375442,2,0.0
2004-02-10,102.62,102.97,0.003324208056316058,102.62,-0.0,2,0.0
2004-02-11,103.17,104.07,0.0053595790294289625,103.17,-0.0,2,0.0
2004-02-12,103.17,103.53,0.0,103.17,-0.0,2,0.0
2004-02-13,103.17,102.9,0.0,103.17,-0.0,2,0.0
2004-02-17,103.17,103.86,0.0,103.17,-0.0,2,0.0
2004-02-18,103.17,103.33,0.0,103.17,-0.0,2,0.0
2004-02-19,103.17,102.92,0.0,103.17,-0.0,2,0.0
2004-02-20,103.19,102.71,0.00019385480275269096,103.19,-0.0,2,0.0
2004-02-23,102.43,102.65,-0.0073650547533674615,103.19,-0.7365054753367487,2,0.0
2004-02-24,102.52,102.49,0.0008786488333494269,103.19,-0.6492877216784588,2,0.0
2004-02-25,102.84,102.89,0.0031213421771363326,103.19,-0.33918015311560645,2,0.0
2004-02-26,103.4,102.82,0.005445352003111692,103.4,-0.0,2,0.0
2004-02-27,103.43,102.65,0.00029013539651834286,103.43,-0.0,2,0.0
2004-03-01,104.13,103.53,0.006767862322343499,104.13,-0.0,3,0.0
2004-03-02,104.27,102.89,0.001344473254585532,104.27,-0.0,3,0.0
